dim 1	dim 2	dim 3	dim 4	dim 5	sample_type	sample	sample_type_binary
0.15084	0.39277	-0.11931	0.10309	0.06958	type 4	sample 42	bad
0.15405	0.48072	0.02393	0.19876	0.07509	type 1	sample 43	good
0.15326	0.47622	0.02272	0.19412	0.07613	type 1	sample 44	good
0.14187	0.45762	0.03305	0.1925	0.05415	type 1	sample 45	good
0.1089	0.20637	0.01612	0.17911	0.05041	type 2	sample 46	bad
0.14833	0.48053	0.03095	0.1943	0.07318	type 1	sample 47	good
0.11082	0.21326	0.00995	0.18476	0.07993	type 2	sample 48	bad
0.14827	0.48164	0.03215	0.19659	0.07548	type 1	sample 49	good
0.14475	0.38218	-0.1133	0.10636	0.0754	type 4	sample 50	good
0.16241	0.46135	0.03626	0.1689	0.07389	type 3	sample 51	good
0.1476	0.38915	-0.09912	0.11643	0.07734	type 4	sample 52	bad
0.11148	0.21221	0.01987	0.17371	0.0043	type 2	sample 53	bad
0.14639	0.39389	-0.11011	0.10847	0.07264	type 4	sample 54	bad
0.10939	0.20494	0.01401	0.17934	0.07482	type 2	sample 55	bad
0.14872	0.37804	-0.11113	0.10523	0.07385	type 4	sample 56	bad
0.40813	0.33776	-0.00052	0.15411	0.07144	type 5	sample 57	good
0.111	0.20887	0.01343	0.17337	0.00381	type 2	sample 58	bad
0.15223	0.47932	0.02569	0.19402	0.07668	type 1	sample 59	good
0.41752	0.33655	0.00103	0.14986	0.0739	type 5	sample 60	bad
0.14055	0.35968	-0.09426	0.12064	0.07113	type 4	sample 61	bad
0.11218	0.20511	0.00472	0.19019	0.12741	type 2	sample 62	bad
0.41612	0.33389	0.00244	0.15093	0.07438	type 5	sample 63	bad
0.15109	0.41846	-0.06075	0.13481	0.07086	type 4	sample 64	bad
0.14941	0.41286	-0.06776	0.13067	0.07324	type 4	sample 65	bad
0.40844	0.33667	-0.00321	0.14998	0.07184	type 5	sample 66	good
0.15014	0.39111	-0.09786	0.11455	0.07379	type 4	sample 67	good
0.18175	0.43143	0.0418	0.14631	0.0772	type 3	sample 68	good
0.41241	0.33491	0.00105	0.15244	0.07505	type 5	sample 69	bad
0.15004	0.40704	-0.07578	0.1294	0.07691	type 4	sample 70	bad
0.14715	0.48183	0.03037	0.19159	0.07264	type 1	sample 71	good
0.1077	0.20779	0.01759	0.17725	0.0446	type 2	sample 72	bad
0.14555	0.42427	-0.06718	0.13277	0.07422	type 4	sample 73	good
0.1114	0.21656	0.01373	0.17623	0.04446	type 2	sample 74	bad
0.41045	0.33751	0.00262	0.1548	0.07421	type 5	sample 75	good
0.14739	0.40032	-0.10101	0.11893	0.06969	type 4	sample 76	good
0.14783	0.39678	-0.10535	0.11253	0.07343	type 4	sample 77	bad
0.41796	0.33477	-0.00032	0.14896	0.07455	type 5	sample 78	good
0.18887	0.40418	0.05701	0.10986	0.07628	type 3	sample 79	good
0.14949	0.48619	0.0367	0.20198	0.07416	type 1	sample 80	good
0.15126	0.39147	-0.1014	0.11642	0.07066	type 4	sample 81	good
0.10997	0.20867	0.00645	0.18533	0.12658	type 2	sample 82	bad
0.1689	0.45939	0.03584	0.17987	0.07947	type 3	sample 83	good
0.1469	0.48093	0.03056	0.19661	0.07159	type 1	sample 84	good
0.15405	0.48123	0.02369	0.1973	0.07827	type 1	sample 85	good
0.1493	0.4017	-0.10008	0.11896	0.07391	type 4	sample 86	good
0.14388	0.40161	-0.09897	0.1172	0.07348	type 4	sample 87	bad
0.15089	0.48135	0.0309	0.19524	0.07096	type 1	sample 88	good
0.14706	0.40142	-0.08111	0.12635	0.07249	type 4	sample 89	good
0.14966	0.45825	0.04639	0.16905	0.07534	type 3	sample 90	bad
0.14698	0.40203	-0.08702	0.12249	0.07164	type 4	sample 91	good
0.14673	0.40106	-0.09848	0.11625	0.07352	type 4	sample 92	good
0.14305	0.37481	-0.09032	0.11975	0.07302	type 4	sample 93	bad
0.14567	0.38563	-0.11666	0.1084	0.07952	type 4	sample 94	bad
0.10816	0.20288	0.01342	0.18259	0.0705	type 2	sample 95	bad
0.15048	0.40337	-0.08494	0.12551	0.07268	type 4	sample 96	bad
0.14657	0.4019	-0.10175	0.11412	0.07036	type 4	sample 97	bad
0.12281	0.33325	0.12803	-0.03649	0.08038	type 3	sample 98	bad
0.14913	0.48088	0.02976	0.19531	0.07093	type 1	sample 99	good
0.14565	0.39596	-0.09466	0.11789	0.07097	type 4	sample 100	bad
0.1449	0.46398	0.03184	0.19176	0.05912	type 1	sample 101	good
0.14564	0.37579	-0.08918	0.11946	0.07698	type 4	sample 102	bad
0.14407	0.37428	-0.08689	0.12488	0.07089	type 4	sample 103	good
0.14849	0.42007	-0.0658	0.13527	0.06957	type 4	sample 104	good
0.14412	0.39838	-0.10389	0.1167	0.07311	type 4	sample 105	good
0.11033	0.20621	0.0065	0.18375	0.12379	type 2	sample 106	bad
0.14411	0.36867	-0.09499	0.12087	0.07136	type 4	sample 107	bad
0.40424	0.34022	0.00145	0.15441	0.07504	type 5	sample 108	good
0.41157	0.33915	-0.00273	0.14889	0.07269	type 5	sample 109	good
0.14791	0.39463	-0.10454	0.11336	0.07768	type 4	sample 110	bad
0.14927	0.39282	-0.10051	0.11567	0.07336	type 4	sample 111	bad
0.4168	0.33584	-0.00081	0.1524	0.07274	type 5	sample 112	good
0.39802	0.33842	-0.00198	0.1511	0.07845	type 5	sample 113	good
0.41332	0.33816	0.00069	0.15415	0.07192	type 5	sample 114	bad
0.40483	0.33684	0.00346	0.15219	0.07289	type 5	sample 115	good
0.15047	0.40624	0.071	0.09348	0.07631	type 3	sample 116	bad
0.40947	0.33853	-0.00079	0.14982	0.07227	type 5	sample 117	good
0.1417	0.45926	0.03264	0.19153	0.05931	type 1	sample 118	good
0.11377	0.21062	0.00671	0.18693	0.12824	type 2	sample 119	bad
0.14546	0.48028	0.03029	0.19656	0.07309	type 1	sample 120	good
0.15343	0.47919	0.02537	0.19529	0.07582	type 1	sample 121	good
0.41352	0.33467	-0.00112	0.15302	0.07337	type 5	sample 122	good
0.14751	0.3954	-0.10296	0.11864	0.07603	type 4	sample 123	good
0.1449	0.37719	-0.13265	0.09709	0.07077	type 4	sample 124	bad
0.16686	0.425	0.05948	0.1222	0.08086	type 3	sample 125	good
0.14863	0.48075	0.03094	0.19548	0.07686	type 1	sample 126	good
0.15696	0.4777	0.02462	0.19461	0.07594	type 1	sample 127	good
0.14976	0.41462	-0.09405	0.11775	0.06914	type 4	sample 128	good
0.15161	0.47977	0.03251	0.19823	0.0725	type 1	sample 129	good
0.14475	0.3758	-0.08989	0.12409	0.0745	type 4	sample 130	good
0.15993	0.47695	0.03198	0.19699	0.07739	type 1	sample 131	good
0.41235	0.33617	-0.0032	0.14843	0.07561	type 5	sample 132	bad
0.11349	0.20908	0.00423	0.18699	0.11387	type 2	sample 133	bad
0.41702	0.33361	0.00159	0.15003	0.07582	type 5	sample 134	good
0.11018	0.21171	0.0174	0.17151	0.00049	type 2	sample 135	bad
0.40804	0.33731	-0.00187	0.14998	0.07174	type 5	sample 136	good
0.15169	0.47841	0.02236	0.19457	0.07508	type 1	sample 137	good
0.14547	0.40214	-0.09855	0.11833	0.07418	type 4	sample 138	bad
0.10916	0.20576	0.01391	0.18298	0.07619	type 2	sample 139	bad
0.18187	0.426	0.04714	0.13545	0.08223	type 3	sample 140	good
0.31637	0.37607	0.02265	0.15183	0.07318	type 3	sample 141	good
0.10952	0.2058	0.01223	0.18652	0.09021	type 2	sample 142	bad
0.14354	0.46105	0.03257	0.18827	0.0582	type 1	sample 143	good
0.41449	0.33675	0.00147	0.15312	0.07317	type 5	sample 144	bad
0.4118	0.33492	0.00134	0.14978	0.07389	type 5	sample 145	bad
0.41489	0.33571	0.00145	0.14976	0.07358	type 5	sample 146	good
0.41216	0.33476	0.00139	0.15119	0.07125	type 5	sample 147	bad
0.41398	0.33415	-0.00194	0.14932	0.07209	type 5	sample 148	bad
0.40516	0.339	-0.00255	0.15174	0.07342	type 5	sample 149	good
0.41211	0.33563	0.00156	0.1514	0.0693	type 5	sample 150	good
0.10798	0.20769	0.01239	0.18297	0.07341	type 2	sample 151	bad
0.11292	0.21267	0.01512	0.17025	-0.00497	type 2	sample 152	bad
0.41426	0.33513	-0.0007	0.14986	0.07008	type 5	sample 153	good
0.11272	0.21383	0.01679	0.17216	-0.0023	type 2	sample 154	bad
0.14609	0.39702	-0.09447	0.11896	0.07121	type 4	sample 155	bad
0.14854	0.40377	-0.10769	0.11138	0.07026	type 4	sample 156	good
0.11171	0.20816	0.00825	0.1862	0.1192	type 2	sample 157	bad
0.14745	0.38949	-0.10014	0.11433	0.07286	type 4	sample 158	good
0.14282	0.35637	-0.11466	0.10721	0.07415	type 4	sample 159	bad
0.15778	0.476	0.02955	0.19773	0.07977	type 1	sample 160	good
0.1506	0.48014	0.03207	0.19442	0.07081	type 1	sample 161	good
0.14649	0.39804	-0.10611	0.11764	0.07331	type 4	sample 162	bad
0.13562	0.36892	0.09457	0.03042	0.0769	type 3	sample 163	bad
0.14228	0.37104	-0.08679	0.12498	0.0765	type 4	sample 164	good
0.11149	0.20961	0.00381	0.18958	0.12794	type 2	sample 165	bad
0.14709	0.37099	-0.11817	0.10624	0.07361	type 4	sample 166	bad
0.14122	0.46751	0.03429	0.19303	0.06303	type 1	sample 167	good
0.15583	0.47819	0.03498	0.19369	0.0764	type 1	sample 168	good
0.41352	0.33371	-0.00128	0.1483	0.06911	type 5	sample 169	good
0.40987	0.33458	0.00012	0.15064	0.06984	type 5	sample 170	bad
0.13396	0.36423	0.10497	0.01531	0.07751	type 3	sample 171	good
0.14464	0.4667	0.03593	0.19374	0.06115	type 1	sample 172	good
0.15538	0.47985	0.02289	0.19557	0.07651	type 1	sample 173	good
0.40361	0.34165	0.00163	0.15247	0.07424	type 5	sample 174	good
0.15	0.40452	-0.10628	0.11314	0.07231	type 4	sample 175	bad
0.15267	0.47751	0.02332	0.19597	0.07458	type 1	sample 176	good
0.14738	0.48076	0.03426	0.19474	0.07308	type 1	sample 177	good
0.14538	0.38542	-0.11966	0.10648	0.07287	type 4	sample 178	good
0.14529	0.38083	-0.10845	0.11222	0.07226	type 4	sample 179	bad
0.1123	0.20546	0.0171	0.18479	0.07235	type 2	sample 180	bad
0.14846	0.39054	-0.10408	0.11183	0.07344	type 4	sample 181	good
0.40253	0.3398	0.00263	0.15485	0.07485	type 5	sample 182	bad
0.14318	0.37779	-0.08745	0.1165	0.07165	type 4	sample 183	bad
0.42058	0.33383	0.00263	0.14852	0.07559	type 5	sample 184	bad
0.14773	0.48388	0.03101	0.19604	0.07347	type 1	sample 185	good
0.14247	0.37404	-0.08836	0.12138	0.07546	type 4	sample 186	bad
0.10946	0.20922	0.0147	0.17696	0.04462	type 2	sample 187	bad
0.14254	0.37716	-0.07285	0.12714	0.07674	type 4	sample 188	bad
0.11059	0.2131	0.01625	0.17313	0.00326	type 2	sample 189	bad
0.14997	0.39003	-0.09759	0.11721	0.07531	type 4	sample 190	bad
0.11431	0.21326	0.01362	0.17472	0.04305	type 2	sample 191	bad
0.14176	0.35606	-0.11199	0.10906	0.07635	type 4	sample 192	bad
0.10846	0.31312	0.14095	-0.07267	0.08068	type 3	sample 193	bad
0.14988	0.41504	-0.06294	0.13436	0.07423	type 4	sample 194	bad
0.14687	0.38688	-0.10651	0.11654	0.07212	type 4	sample 195	good
0.14288	0.4649	0.03437	0.19103	0.06348	type 1	sample 196	good
0.41325	0.33487	0.00374	0.15237	0.0723	type 5	sample 197	bad
0.15502	0.48035	0.02381	0.1947	0.07829	type 1	sample 198	good
0.11152	0.20579	0.01461	0.18402	0.07118	type 2	sample 199	bad
0.14527	0.39668	-0.09314	0.11682	0.07101	type 4	sample 200	bad
0.11125	0.20679	0.00843	0.18579	0.13314	type 2	sample 201	bad
0.1546	0.47892	0.02176	0.19588	0.07644	type 1	sample 202	good
0.14121	0.46267	0.03173	0.18878	0.05708	type 1	sample 203	good
0.14982	0.48236	0.03003	0.19594	0.07421	type 1	sample 204	good
0.15123	0.42411	-0.0628	0.13526	0.07359	type 4	sample 205	good
0.41124	0.33714	0.00026	0.15209	0.07223	type 5	sample 206	good
0.14936	0.48058	0.03145	0.19611	0.0717	type 1	sample 207	good
0.41046	0.33519	-0.00047	0.1496	0.07296	type 5	sample 208	good
0.15106	0.38646	-0.12063	0.10357	0.07273	type 4	sample 209	bad
0.14694	0.41172	-0.08177	0.12688	0.07112	type 4	sample 210	good
0.14612	0.40614	-0.07911	0.12559	0.07306	type 4	sample 211	good
0.14071	0.46216	0.0344	0.19012	0.06185	type 1	sample 212	good
0.14835	0.4051	-0.06924	0.13054	0.07327	type 4	sample 213	bad
0.17553	0.42648	0.05216	0.13438	0.07755	type 3	sample 214	bad
0.41666	0.33517	0.0012	0.15213	0.07471	type 5	sample 215	good
0.40991	0.33942	-0.00084	0.15427	0.07101	type 5	sample 216	bad
0.1415	0.46366	0.03504	0.19104	0.06305	type 1	sample 217	good
0.1424	0.4654	0.03673	0.1931	0.06112	type 1	sample 218	good
0.14882	0.38432	-0.11039	0.10801	0.07305	type 4	sample 219	good
0.15473	0.48027	0.03068	0.19784	0.07656	type 1	sample 220	good
0.14754	0.40588	-0.09669	0.11786	0.0715	type 4	sample 221	good
0.14744	0.414	-0.07608	0.13081	0.07061	type 4	sample 222	good
0.15179	0.48265	0.03234	0.20019	0.07524	type 1	sample 223	good
0.41164	0.33745	-0.00172	0.15238	0.07191	type 5	sample 224	good
0.10781	0.20514	0.0095	0.18409	0.06927	type 2	sample 225	bad
0.14511	0.46502	0.03435	0.19398	0.06391	type 1	sample 226	good
0.14309	0.36412	-0.11409	0.10781	0.06958	type 4	sample 227	good
0.1488	0.48171	0.03031	0.19556	0.07264	type 1	sample 228	good
0.10863	0.20743	0.01191	0.18438	0.0755	type 2	sample 229	bad
0.11188	0.21178	0.0076	0.1889	0.11736	type 2	sample 230	bad
0.10847	0.20381	0.01079	0.1861	0.08764	type 2	sample 231	bad
0.15272	0.48015	0.02996	0.19549	0.07534	type 1	sample 232	good
0.14689	0.48223	0.03215	0.19531	0.07146	type 1	sample 233	good
0.14708	0.48008	0.03409	0.19435	0.07519	type 1	sample 234	good
0.16516	0.47574	0.02812	0.19749	0.07489	type 1	sample 235	good
0.11212	0.20567	0.00622	0.19031	0.13042	type 2	sample 236	bad
0.1474	0.38331	-0.10738	0.11176	0.07103	type 4	sample 237	good
0.11012	0.20408	0.01096	0.18338	0.07049	type 2	sample 238	bad
0.15593	0.48022	0.02649	0.19821	0.07456	type 1	sample 239	good
0.15753	0.47711	0.0282	0.19665	0.07493	type 1	sample 240	good
0.41288	0.33625	0.0018	0.14899	0.07345	type 5	sample 241	bad
0.11573	0.2239	-0.00224	0.17926	0.11889	type 2	sample 242	bad
0.1149	0.22846	-0.00614	0.17626	0.11781	type 2	sample 243	bad
0.40524	0.33874	-0.0006	0.14995	0.07339	type 5	sample 244	bad
0.15266	0.43315	-0.03935	0.14566	0.07005	type 4	sample 245	good
0.14539	0.37393	-0.12007	0.10446	0.07091	type 4	sample 246	bad
0.14705	0.37922	-0.11125	0.10836	0.07151	type 4	sample 247	bad
0.10968	0.20398	0.01131	0.18543	0.07489	type 2	sample 248	bad
0.14831	0.38309	-0.10753	0.11273	0.07419	type 4	sample 249	good
0.39276	0.34788	0.00232	0.15564	0.07116	type 5	sample 250	bad
0.14923	0.40647	-0.08365	0.12511	0.07354	type 4	sample 251	bad
0.40211	0.3388	0.00327	0.15077	0.07649	type 5	sample 252	good
0.40426	0.33744	0.00319	0.15304	0.07516	type 5	sample 253	bad
0.4114	0.33684	-2e-05	0.15154	0.07465	type 5	sample 254	good
0.14214	0.46307	0.03212	0.18995	0.06108	type 1	sample 255	good
0.11244	0.20772	0.00784	0.18905	0.12955	type 2	sample 256	bad
0.41136	0.33878	-0.00125	0.15019	0.07137	type 5	sample 257	bad
0.14823	0.41212	-0.07325	0.12812	0.07089	type 4	sample 258	bad
0.14524	0.39473	-0.10311	0.11557	0.07259	type 4	sample 259	good
0.15588	0.47643	0.02166	0.19795	0.07623	type 1	sample 260	good
0.4114	0.33578	0.00552	0.15131	0.07061	type 5	sample 261	bad
0.15602	0.4811	0.02773	0.19792	0.07322	type 1	sample 262	good
0.14992	0.38129	-0.11498	0.1062	0.07102	type 4	sample 263	bad
0.39253	0.34332	0.00335	0.15528	0.07464	type 5	sample 264	bad
0.38237	0.35242	0.00436	0.15356	0.07328	type 5	sample 265	good
0.14754	0.37999	-0.10579	0.10938	0.07645	type 4	sample 266	bad
0.14701	0.4051	-0.07653	0.1246	0.06863	type 4	sample 267	bad
0.11175	0.20818	0.00739	0.18897	0.12614	type 2	sample 268	bad
0.14776	0.40089	-0.09424	0.1177	0.07424	type 4	sample 269	good
0.16224	0.45084	0.04124	0.16447	0.07437	type 3	sample 270	bad
0.11246	0.21142	0.01909	0.17708	0.04229	type 2	sample 271	bad
0.41299	0.33652	0.00012	0.14939	0.06947	type 5	sample 272	bad
0.10982	0.20429	0.01484	0.18573	0.06811	type 2	sample 273	bad
0.11241	0.20848	0.00539	0.1863	0.1211	type 2	sample 274	bad
0.4075	0.33745	-0.00064	0.15279	0.07048	type 5	sample 275	good
0.3683	0.35572	0.00524	0.15779	0.07494	type 5	sample 276	good
0.15021	0.48242	0.02896	0.19477	0.07106	type 1	sample 277	good
0.10689	0.2068	0.01663	0.18004	0.04116	type 2	sample 278	bad
0.41106	0.33449	3e-05	0.15092	0.07165	type 5	sample 279	bad
0.11177	0.21083	0.00089	0.18667	0.11433	type 2	sample 280	bad
0.15779	0.47769	0.0283	0.1963	0.07903	type 1	sample 281	good
0.4001	0.34061	-0.00232	0.15266	0.07512	type 5	sample 282	bad
0.14454	0.38363	-0.0986	0.11647	0.07501	type 4	sample 283	good
0.41482	0.3346	-0.00112	0.15063	0.07239	type 5	sample 284	bad
0.41262	0.3353	-0.00348	0.14883	0.07302	type 5	sample 285	good
0.14309	0.37442	-0.09039	0.12143	0.07578	type 4	sample 286	bad
0.14732	0.40585	-0.10823	0.1105	0.0722	type 4	sample 287	bad
0.41323	0.33456	-0.00103	0.14941	0.07021	type 5	sample 288	bad
0.1689	0.42835	0.05308	0.13306	0.07339	type 3	sample 289	good
0.11182	0.20875	0.00536	0.1902	0.12847	type 2	sample 290	bad
0.14908	0.43752	-0.04938	0.14507	0.06985	type 4	sample 291	good
0.41491	0.33305	-0.00045	0.15021	0.07306	type 5	sample 292	bad
0.16995	0.44927	0.03847	0.16186	0.07501	type 3	sample 293	bad
0.14589	0.40944	-0.0939	0.12263	0.07316	type 4	sample 294	bad
0.14184	0.47003	0.03331	0.19537	0.06149	type 1	sample 295	good
0.14629	0.38941	-0.10723	0.1116	0.06836	type 4	sample 296	bad
0.41423	0.33385	0.00231	0.152	0.07242	type 5	sample 297	bad
0.15539	0.47772	0.02242	0.19689	0.07913	type 1	sample 298	good
0.39272	0.34592	0.00053	0.15672	0.07182	type 5	sample 299	good
0.15499	0.47993	0.02271	0.194	0.07516	type 1	sample 300	good
0.15042	0.48165	0.02812	0.1991	0.07158	type 1	sample 301	good
0.19455	0.43396	0.03436	0.15449	0.07806	type 3	sample 302	good
0.14857	0.48274	0.03224	0.19713	0.07259	type 1	sample 303	good
0.14691	0.38095	-0.10556	0.11479	0.07493	type 4	sample 304	good
0.41258	0.33577	-0.00089	0.14824	0.0751	type 5	sample 305	good
0.15804	0.47646	0.03067	0.1951	0.07675	type 1	sample 306	good
0.14877	0.392	-0.10824	0.11094	0.07421	type 4	sample 307	bad
0.15384	0.47877	0.02424	0.19715	0.0737	type 1	sample 308	good
0.14237	0.3715	-0.08183	0.11998	0.07435	type 4	sample 309	good
0.14872	0.39151	-0.10238	0.1154	0.07498	type 4	sample 310	good
0.15607	0.47952	0.03108	0.19713	0.0758	type 1	sample 311	good
0.16286	0.3956	0.07101	0.08631	0.07624	type 3	sample 312	bad
0.14766	0.392	-0.10364	0.11205	0.07438	type 4	sample 313	good
0.12023	0.33399	0.12437	-0.03038	0.08031	type 3	sample 314	good
0.1491	0.48329	0.03032	0.19495	0.0712	type 1	sample 315	good
0.14693	0.39268	-0.09759	0.11504	0.0777	type 4	sample 316	good
0.11131	0.20836	0.00281	0.18777	0.11766	type 2	sample 317	bad
0.10905	0.21265	0.0146	0.17643	0.04096	type 2	sample 318	bad
0.11311	0.21104	0.00248	0.18495	0.1113	type 2	sample 319	bad
0.14323	0.3794	-0.07412	0.12384	0.07767	type 4	sample 320	bad
0.14809	0.48316	0.03294	0.19481	0.06961	type 1	sample 321	good
0.41253	0.33704	0.0042	0.15106	0.07629	type 5	sample 322	bad
0.15575	0.47956	0.02518	0.19891	0.07776	type 1	sample 323	good
0.14816	0.39938	-0.11204	0.1112	0.06952	type 4	sample 324	bad
0.1449	0.39154	-0.08648	0.12398	0.0726	type 4	sample 325	bad
0.37243	0.35602	0.00312	0.15821	0.07461	type 5	sample 326	bad
0.1456	0.39248	-0.10481	0.115	0.07369	type 4	sample 327	good
0.14727	0.39054	-0.10167	0.11794	0.06822	type 4	sample 328	bad
0.14842	0.40207	-0.1026	0.11441	0.07612	type 4	sample 329	bad
0.14954	0.39351	-0.1123	0.11018	0.07199	type 4	sample 330	good
0.41409	0.33678	0.00081	0.15183	0.0721	type 5	sample 331	bad
0.14498	0.43176	0.06298	0.12213	0.0792	type 3	sample 332	bad
0.14825	0.3957	-0.10328	0.11656	0.07314	type 4	sample 333	bad
0.11132	0.21376	0.00517	0.18416	0.11233	type 2	sample 334	bad
0.14632	0.38528	-0.11913	0.10606	0.07042	type 4	sample 335	good
0.14941	0.40436	-0.08389	0.12372	0.07142	type 4	sample 336	good
0.16972	0.43562	0.04777	0.14388	0.07673	type 3	sample 337	good
0.15376	0.47697	0.02467	0.19612	0.07592	type 1	sample 338	good
0.10943	0.20208	0.01583	0.18599	0.0741	type 2	sample 339	bad
0.15139	0.44761	0.05227	0.14766	0.07568	type 3	sample 340	good
0.41251	0.33747	0.00384	0.15195	0.06968	type 5	sample 341	bad
0.14121	0.36351	-0.06917	0.13519	0.07428	type 4	sample 342	bad
0.41455	0.33524	0.00187	0.15163	0.07037	type 5	sample 343	good
0.11019	0.20751	0.00572	0.18771	0.12856	type 2	sample 344	bad
0.3901	0.34923	0.00331	0.15524	0.07304	type 5	sample 345	good
0.14651	0.47391	0.03416	0.19415	0.06462	type 1	sample 346	good
0.41299	0.33382	0.00149	0.15272	0.07338	type 5	sample 347	good
0.14814	0.39211	-0.10021	0.11364	0.07512	type 4	sample 348	bad
0.15149	0.40689	-0.10231	0.11396	0.07248	type 4	sample 349	good
0.17312	0.35875	0.09084	0.03874	0.07661	type 3	sample 350	good
0.14237	0.46578	0.03541	0.19425	0.06144	type 1	sample 351	good
0.14854	0.41201	-0.07671	0.12898	0.07456	type 4	sample 352	bad
0.10897	0.20888	0.01462	0.17666	0.04122	type 2	sample 353	bad
0.15126	0.39415	-0.10484	0.11561	0.06816	type 4	sample 354	bad
0.41285	0.3335	0.00387	0.14931	0.0744	type 5	sample 355	good
0.10875	0.20768	0.01215	0.18308	0.09064	type 2	sample 356	bad
0.14922	0.42	-0.06189	0.13492	0.07257	type 4	sample 357	bad
0.1517	0.39443	-0.10589	0.11183	0.07342	type 4	sample 358	good
0.14756	0.40043	-0.09543	0.11727	0.06939	type 4	sample 359	bad
0.41331	0.33378	0.00166	0.15267	0.07499	type 5	sample 360	good
0.1443	0.46571	0.0351	0.19234	0.06117	type 1	sample 361	good
0.41304	0.33608	-0.00267	0.14786	0.07087	type 5	sample 362	good
0.14672	0.39953	-0.09694	0.11895	0.07635	type 4	sample 363	good
0.1475	0.3917	-0.10581	0.11248	0.0717	type 4	sample 364	bad
0.39371	0.3438	0.00208	0.15332	0.0736	type 5	sample 365	good
0.14824	0.4825	0.02983	0.19647	0.07064	type 1	sample 366	good
0.14917	0.38921	-0.11045	0.10928	0.07072	type 4	sample 367	good
0.17179	0.43811	0.04306	0.1491	0.07689	type 3	sample 368	bad
0.20623	0.42577	0.04052	0.15239	0.07652	type 3	sample 369	bad
0.14847	0.48225	0.03235	0.19773	0.07239	type 1	sample 370	good
0.14553	0.46619	0.03312	0.19635	0.06468	type 1	sample 371	good
0.10783	0.2074	0.00819	0.18797	0.12464	type 2	sample 372	bad
0.40787	0.3363	0.00054	0.15133	0.07178	type 5	sample 373	good
0.14775	0.48011	0.03089	0.19679	0.07295	type 1	sample 374	good
0.11278	0.21433	0.0162	0.17032	-0.00583	type 2	sample 375	bad
0.15452	0.47982	0.02812	0.19618	0.07351	type 1	sample 376	good
