dim 1,dim 2,dim 3,dim 4,dim 5,sample_type,sample,sample_type_binary,KMeans labels
0.15125999999999998,0.39147,-0.1014,0.11642000000000001,0.07066,type 4,sample 81,good,0
0.10997,0.20867,0.00645,0.18533,0.12658,type 2,sample 82,bad,5
0.1689,0.45938999999999997,0.03584,0.17987,0.07947,type 3,sample 83,good,3
0.1469,0.48093,0.030560000000000004,0.19660999999999998,0.07159,type 1,sample 84,good,3
0.15405,0.48123,0.02369,0.1973,0.07827,type 1,sample 85,good,3
0.1493,0.4017,-0.10008,0.11896,0.07391,type 4,sample 86,good,0
0.14388,0.40160999999999997,-0.09897,0.1172,0.07347999999999999,type 4,sample 87,bad,0
0.15089,0.48135,0.0309,0.19524,0.07096000000000001,type 1,sample 88,good,3
0.14706,0.40142,-0.08111,0.12635,0.07249,type 4,sample 89,good,0
0.14966,0.45825,0.04639,0.16905,0.07534,type 3,sample 90,bad,3
0.14698,0.40203,-0.08702,0.12249000000000002,0.07164,type 4,sample 91,good,0
0.14673,0.40105999999999997,-0.09848,0.11625,0.07352,type 4,sample 92,good,0
0.14305,0.37481,-0.09032000000000001,0.11975,0.07302,type 4,sample 93,bad,0
0.14567,0.38563000000000003,-0.11665999999999999,0.1084,0.07952000000000001,type 4,sample 94,bad,0
0.10815999999999999,0.20288,0.01342,0.18259,0.0705,type 2,sample 95,bad,5
0.15048,0.40337,-0.08494,0.12550999999999998,0.07268,type 4,sample 96,bad,0
0.14657,0.4019,-0.10175,0.11412,0.07036,type 4,sample 97,bad,0
0.12280999999999999,0.33325,0.12803,-0.036489999999999995,0.08038,type 3,sample 98,bad,4
0.14912999999999998,0.48088000000000003,0.02976,0.19530999999999998,0.07092999999999999,type 1,sample 99,good,3
0.14565,0.39596,-0.09466000000000001,0.11789000000000001,0.07097,type 4,sample 100,bad,0
0.1449,0.46398,0.03184,0.19175999999999999,0.059120000000000006,type 1,sample 101,good,3
0.14564000000000002,0.37579,-0.08918,0.11946,0.07697999999999999,type 4,sample 102,bad,0
0.14407,0.37428,-0.08689,0.12487999999999999,0.07089,type 4,sample 103,good,0
0.14849,0.42007,-0.0658,0.13527,0.06957,type 4,sample 104,good,0
0.14412,0.39838,-0.10389000000000001,0.1167,0.07311000000000001,type 4,sample 105,good,0
0.11033,0.20621,0.0065,0.18375,0.12379000000000001,type 2,sample 106,bad,5
0.14411,0.36867,-0.09498999999999999,0.12087,0.07136,type 4,sample 107,bad,0
0.40424,0.34021999999999997,0.00145,0.15441,0.07504,type 5,sample 108,good,1
0.41157,0.33915,-0.0027300000000000002,0.14889000000000002,0.07269,type 5,sample 109,good,1
0.14790999999999999,0.39463000000000004,-0.10454000000000001,0.11335999999999999,0.07768,type 4,sample 110,bad,0
0.14927,0.39282,-0.10051,0.11567000000000001,0.07336000000000001,type 4,sample 111,bad,0
0.4168,0.33584,-0.00081,0.1524,0.07274,type 5,sample 112,good,1
0.39802,0.33842,-0.00198,0.1511,0.07845,type 5,sample 113,good,1
0.41331999999999997,0.33816,0.0006900000000000001,0.15415,0.07192,type 5,sample 114,bad,1
0.40483,0.33684000000000003,0.00346,0.15219000000000002,0.07289,type 5,sample 115,good,1
0.15047,0.40624,0.071,0.09348,0.07631,type 3,sample 116,bad,4
0.40947,0.33853,-0.00079,0.14982,0.07227,type 5,sample 117,good,1
0.1417,0.45926000000000006,0.032639999999999995,0.19153,0.05931,type 1,sample 118,good,3
0.11377000000000001,0.21061999999999997,0.00671,0.18692999999999999,0.12824000000000002,type 2,sample 119,bad,5
0.14545999999999998,0.48028000000000004,0.030289999999999997,0.19655999999999998,0.07309,type 1,sample 120,good,3
0.15342999999999998,0.47918999999999995,0.02537,0.19529000000000002,0.07582,type 1,sample 121,good,3
0.41352,0.33466999999999997,-0.00112,0.15302000000000002,0.07337,type 5,sample 122,good,1
0.14751,0.3954,-0.10296,0.11864000000000001,0.07603,type 4,sample 123,good,0
0.1449,0.37719,-0.13265,0.09709,0.07077,type 4,sample 124,bad,0
0.16685999999999998,0.425,0.05948,0.1222,0.08086,type 3,sample 125,good,3
0.14862999999999998,0.48075,0.03094,0.19548,0.07686,type 1,sample 126,good,3
0.15696,0.4777,0.02462,0.19460999999999998,0.07594,type 1,sample 127,good,3
0.14976,0.41462,-0.09405,0.11775,0.06914,type 4,sample 128,good,0
0.15161,0.47977,0.032510000000000004,0.19823,0.0725,type 1,sample 129,good,3
0.14475,0.3758,-0.08989,0.12409,0.0745,type 4,sample 130,good,0
0.15993,0.47695,0.03198,0.19699,0.07739,type 1,sample 131,good,3
0.41235,0.33616999999999997,-0.0032,0.14843,0.07561,type 5,sample 132,bad,1
0.11349000000000001,0.20908000000000002,0.004229999999999999,0.18699000000000002,0.11387,type 2,sample 133,bad,5
0.41702,0.33361,0.00159,0.15003,0.07582,type 5,sample 134,good,1
0.11018,0.21170999999999998,0.0174,0.17151,0.00049,type 2,sample 135,bad,2
0.40804,0.33731,-0.00187,0.14998,0.07174,type 5,sample 136,good,1
0.15169000000000002,0.47841000000000006,0.022359999999999998,0.19457,0.07508,type 1,sample 137,good,3
0.14547000000000002,0.40214,-0.09855,0.11832999999999999,0.07418,type 4,sample 138,bad,0
0.10916,0.20576,0.013909999999999999,0.18298,0.07619,type 2,sample 139,bad,5
0.18187,0.426,0.047139999999999994,0.13545,0.08223,type 3,sample 140,good,3
0.31637,0.37606999999999996,0.02265,0.15183,0.07318,type 3,sample 141,good,1
0.10952,0.2058,0.01223,0.18652,0.09021,type 2,sample 142,bad,5
0.14354,0.46105,0.03257,0.18827,0.0582,type 1,sample 143,good,3
0.41448999999999997,0.33675,0.00147,0.15312,0.07317,type 5,sample 144,bad,1
0.4118,0.33492,0.00134,0.14978,0.07389,type 5,sample 145,bad,1
0.41489,0.33571,0.00145,0.14976,0.07357999999999999,type 5,sample 146,good,1
0.41216,0.33476,0.00139,0.15119000000000002,0.07125,type 5,sample 147,bad,1
0.41398,0.33415,-0.0019399999999999999,0.14932,0.07209,type 5,sample 148,bad,1
0.40515999999999996,0.33899999999999997,-0.00255,0.15174,0.07342,type 5,sample 149,good,1
0.41211000000000003,0.33563000000000004,0.00156,0.1514,0.0693,type 5,sample 150,good,1
0.10797999999999999,0.20769,0.01239,0.18297,0.07341,type 2,sample 151,bad,5
0.11292,0.21266999999999997,0.015119999999999998,0.17025,-0.0049700000000000005,type 2,sample 152,bad,2
0.41426,0.33513000000000004,-0.0007,0.14986,0.07007999999999999,type 5,sample 153,good,1
0.11272,0.21383000000000002,0.01679,0.17215999999999998,-0.0023,type 2,sample 154,bad,2
0.14609,0.39702,-0.09447,0.11896,0.07121,type 4,sample 155,bad,0
0.14854,0.40376999999999996,-0.10769000000000001,0.11137999999999999,0.07026,type 4,sample 156,good,0
0.11170999999999999,0.20815999999999998,0.00825,0.1862,0.1192,type 2,sample 157,bad,5
0.14745,0.38949,-0.10013999999999999,0.11433,0.07286000000000001,type 4,sample 158,good,0
0.14282,0.35636999999999996,-0.11465999999999998,0.10720999999999999,0.07415,type 4,sample 159,bad,0
0.15778,0.47600000000000003,0.02955,0.19773,0.07977000000000001,type 1,sample 160,good,3
0.1506,0.48013999999999996,0.03207,0.19442,0.07081,type 1,sample 161,good,3
0.14649,0.39804,-0.10611,0.11764000000000001,0.07331,type 4,sample 162,bad,0
0.13562000000000002,0.36891999999999997,0.09457,0.03042,0.0769,type 3,sample 163,bad,4
0.14228,0.37104000000000004,-0.08678999999999999,0.12498,0.0765,type 4,sample 164,good,0
0.11149,0.20961,0.00381,0.18958,0.12794,type 2,sample 165,bad,5
0.14709,0.37099,-0.11817000000000001,0.10624000000000001,0.07361000000000001,type 4,sample 166,bad,0
0.14122,0.46751000000000004,0.03429,0.19303,0.06302999999999999,type 1,sample 167,good,3
0.15583,0.47818999999999995,0.034980000000000004,0.19369,0.0764,type 1,sample 168,good,3
0.41352,0.33371,-0.00128,0.1483,0.06911,type 5,sample 169,good,1
0.40986999999999996,0.33458000000000004,0.00011999999999999999,0.15064,0.06984,type 5,sample 170,bad,1
0.13396,0.36423,0.10497000000000001,0.015309999999999999,0.07751,type 3,sample 171,good,4
0.14464000000000002,0.4667,0.035930000000000004,0.19374,0.06115,type 1,sample 172,good,3
0.15538,0.47985,0.02289,0.19557,0.07651000000000001,type 1,sample 173,good,3
0.40360999999999997,0.34165,0.0016300000000000002,0.15247,0.07424,type 5,sample 174,good,1
0.15,0.40452,-0.10628,0.11314,0.07231,type 4,sample 175,bad,0
0.15267,0.47751000000000005,0.02332,0.19597,0.07458,type 1,sample 176,good,3
0.14737999999999998,0.48076,0.034260000000000006,0.19474,0.07307999999999999,type 1,sample 177,good,3
0.14538,0.38542,-0.11965999999999999,0.10647999999999999,0.07287,type 4,sample 178,good,0
0.14529,0.38083,-0.10845,0.11222,0.07226,type 4,sample 179,bad,0
0.1123,0.20546,0.0171,0.18479,0.07235,type 2,sample 180,bad,5
0.14845999999999998,0.39054,-0.10407999999999999,0.11183,0.07343999999999999,type 4,sample 181,good,0
0.40253,0.3398,0.00263,0.15485,0.07485,type 5,sample 182,bad,1
0.14318,0.37779,-0.08745,0.1165,0.07165,type 4,sample 183,bad,0
0.42058,0.33383,0.00263,0.14852,0.07559,type 5,sample 184,bad,1
0.14773,0.48388000000000003,0.031010000000000003,0.19604000000000002,0.07347000000000001,type 1,sample 185,good,3
0.14247,0.37404,-0.08836000000000001,0.12138,0.07546,type 4,sample 186,bad,0
0.10945999999999999,0.20922,0.0147,0.17695999999999998,0.04462,type 2,sample 187,bad,2
0.14254,0.37716,-0.07285,0.12714,0.07674,type 4,sample 188,bad,0
0.11059000000000001,0.2131,0.01625,0.17313,0.0032600000000000003,type 2,sample 189,bad,2
0.14997,0.39003000000000004,-0.09759,0.11721,0.07531,type 4,sample 190,bad,0
0.11431,0.21325999999999998,0.013619999999999998,0.17472000000000001,0.04305,type 2,sample 191,bad,2
0.14176,0.35606,-0.11199,0.10905999999999999,0.07635,type 4,sample 192,bad,0
0.10845999999999999,0.31312,0.14095,-0.07267,0.08068,type 3,sample 193,bad,4
0.14987999999999999,0.41503999999999996,-0.06294,0.13435999999999998,0.07422999999999999,type 4,sample 194,bad,0
0.14687,0.38688,-0.10651,0.11654,0.07212,type 4,sample 195,good,0
0.14288,0.4649,0.03437,0.19103,0.06348,type 1,sample 196,good,3
0.41325,0.33487,0.00374,0.15237,0.0723,type 5,sample 197,bad,1
0.15502,0.48035,0.023809999999999998,0.1947,0.07829,type 1,sample 198,good,3
0.11152000000000001,0.20579,0.01461,0.18402000000000002,0.07118,type 2,sample 199,bad,5
0.14527,0.39668000000000003,-0.09314,0.11682000000000001,0.07101,type 4,sample 200,bad,0
0.11125,0.20679,0.00843,0.18579,0.13314,type 2,sample 201,bad,5
0.1546,0.47891999999999996,0.021759999999999998,0.19588,0.07644,type 1,sample 202,good,3
0.14121,0.46266999999999997,0.03173,0.18878,0.05708,type 1,sample 203,good,3
0.14982,0.48236,0.03003,0.19594,0.07421,type 1,sample 204,good,3
0.15123,0.42411000000000004,-0.0628,0.13526,0.07359,type 4,sample 205,good,0
0.41123999999999994,0.33714,0.00026000000000000003,0.15209,0.07222999999999999,type 5,sample 206,good,1
0.14936,0.48058,0.03145,0.19610999999999998,0.0717,type 1,sample 207,good,3
0.41046000000000005,0.33519,-0.00047000000000000004,0.1496,0.07296,type 5,sample 208,good,1
0.15106,0.38645999999999997,-0.12063,0.10357000000000001,0.07272999999999999,type 4,sample 209,bad,0
0.14694000000000002,0.41172,-0.08177000000000001,0.12688,0.07112,type 4,sample 210,good,0
0.14612,0.40614,-0.07911,0.12559,0.07306,type 4,sample 211,good,0
0.14071,0.46216,0.0344,0.19012,0.06185,type 1,sample 212,good,3
0.14835,0.4051,-0.06924,0.13054000000000002,0.07327,type 4,sample 213,bad,0
0.17553,0.42648,0.052160000000000005,0.13438,0.07755,type 3,sample 214,bad,3
0.41666000000000003,0.33516999999999997,0.0012,0.15213,0.07471,type 5,sample 215,good,1
0.40991000000000005,0.33942,-0.00084,0.15427000000000002,0.07101,type 5,sample 216,bad,1
0.1415,0.46366,0.035039999999999995,0.19104000000000002,0.06305,type 1,sample 217,good,3
0.1424,0.4654,0.03673,0.1931,0.06112000000000001,type 1,sample 218,good,3
0.14882,0.38432,-0.11039000000000002,0.10801,0.07305,type 4,sample 219,good,0
0.15473,0.48027,0.030680000000000002,0.19784000000000002,0.07656,type 1,sample 220,good,3
0.14754,0.40588,-0.09669,0.11785999999999999,0.0715,type 4,sample 221,good,0
0.14744000000000002,0.414,-0.07608,0.13080999999999998,0.07061,type 4,sample 222,good,0
0.15179,0.48265,0.03234,0.20019,0.07524,type 1,sample 223,good,3
0.41163999999999995,0.33745,-0.00172,0.15238,0.07191,type 5,sample 224,good,1
0.10780999999999999,0.20514000000000002,0.0095,0.18409,0.06927,type 2,sample 225,bad,5
0.14511,0.46502,0.03435,0.19397999999999999,0.06391000000000001,type 1,sample 226,good,3
0.14309000000000002,0.36412,-0.11409000000000001,0.10780999999999999,0.06957999999999999,type 4,sample 227,good,0
0.1488,0.48171,0.030310000000000004,0.19555999999999998,0.07264,type 1,sample 228,good,3
0.10862999999999999,0.20743000000000003,0.011909999999999999,0.18438,0.0755,type 2,sample 229,bad,5
0.11188,0.21178000000000002,0.0076,0.1889,0.11735999999999999,type 2,sample 230,bad,5
0.10847000000000001,0.20381,0.010790000000000001,0.1861,0.08764,type 2,sample 231,bad,5
0.15272,0.48015,0.029960000000000004,0.19549,0.07534,type 1,sample 232,good,3
0.14689000000000002,0.48223,0.03215,0.19530999999999998,0.07146,type 1,sample 233,good,3
0.14708,0.48008,0.034089999999999995,0.19435,0.07518999999999999,type 1,sample 234,good,3
0.16516,0.47573999999999994,0.02812,0.19749,0.07489,type 1,sample 235,good,3
0.11212000000000001,0.20567,0.006220000000000001,0.19030999999999998,0.13042,type 2,sample 236,bad,5
0.1474,0.38331,-0.10737999999999999,0.11175999999999998,0.07103,type 4,sample 237,good,0
0.11012000000000001,0.20407999999999998,0.01096,0.18338,0.07049,type 2,sample 238,bad,5
0.15592999999999999,0.48022,0.026489999999999996,0.19821,0.07456,type 1,sample 239,good,3
0.15753,0.47711000000000003,0.0282,0.19665,0.07493,type 1,sample 240,good,3
0.41288,0.33625,0.0018,0.14899,0.07345,type 5,sample 241,bad,1
0.11573,0.2239,-0.00224,0.17926,0.11889000000000001,type 2,sample 242,bad,5
0.1149,0.22846,-0.00614,0.17626,0.11780999999999998,type 2,sample 243,bad,5
0.40524,0.33874,-0.0006,0.14995,0.07339,type 5,sample 244,bad,1
0.15266,0.43315,-0.03935,0.14565999999999998,0.07005,type 4,sample 245,good,0
0.14539000000000002,0.37393000000000004,-0.12007000000000001,0.10446,0.07091,type 4,sample 246,bad,0
0.14705,0.37922,-0.11125,0.10835999999999998,0.07151,type 4,sample 247,bad,0
0.10968,0.20398,0.011309999999999999,0.18542999999999998,0.07489,type 2,sample 248,bad,5
0.14831,0.38309,-0.10753,0.11273,0.07418999999999999,type 4,sample 249,good,0
0.39276,0.34788,0.00232,0.15564,0.07116,type 5,sample 250,bad,1
0.14923,0.40647,-0.08365,0.12511,0.07354,type 4,sample 251,bad,0
0.40210999999999997,0.3388,0.0032700000000000003,0.15077000000000002,0.07649,type 5,sample 252,good,1
0.40426,0.33744,0.0031899999999999997,0.15304,0.07516,type 5,sample 253,bad,1
0.4114,0.33684000000000003,-2e-05,0.15154,0.07465,type 5,sample 254,good,1
0.14214000000000002,0.46307,0.032119999999999996,0.18995,0.061079999999999995,type 1,sample 255,good,3
0.11244000000000001,0.20772,0.00784,0.18905,0.12955,type 2,sample 256,bad,5
0.41136000000000006,0.33878,-0.00125,0.15019000000000002,0.07137,type 5,sample 257,bad,1
0.14823,0.41212,-0.07325,0.12812,0.07089,type 4,sample 258,bad,0
0.14524,0.39473,-0.10311,0.11557,0.07259,type 4,sample 259,good,0
0.15588,0.47643,0.02166,0.19795,0.07622999999999999,type 1,sample 260,good,3
0.4114,0.33578,0.005520000000000001,0.15131,0.07061,type 5,sample 261,bad,1
0.15602,0.4811,0.02773,0.19792,0.07322000000000001,type 1,sample 262,good,3
0.14992,0.38129,-0.11498,0.1062,0.07102,type 4,sample 263,bad,0
0.39253000000000005,0.34331999999999996,0.00335,0.15528,0.07464,type 5,sample 264,bad,1
0.38237,0.35241999999999996,0.00436,0.15356,0.07328,type 5,sample 265,good,1
0.14754,0.37999,-0.10579000000000001,0.10937999999999999,0.07645,type 4,sample 266,bad,0
0.14701,0.4051,-0.07653,0.1246,0.06863,type 4,sample 267,bad,0
0.11175,0.20818000000000003,0.007390000000000001,0.18897,0.12614,type 2,sample 268,bad,5
0.14776,0.40089,-0.09424,0.1177,0.07424,type 4,sample 269,good,0
0.16224,0.45083999999999996,0.04124,0.16447,0.07437,type 3,sample 270,bad,3
0.11245999999999999,0.21141999999999997,0.01909,0.17708,0.042289999999999994,type 2,sample 271,bad,2
0.41298999999999997,0.33652,0.00011999999999999999,0.14939000000000002,0.06947,type 5,sample 272,bad,1
0.10982,0.20429,0.01484,0.18573,0.06811,type 2,sample 273,bad,5
0.11241,0.20848000000000003,0.00539,0.1863,0.1211,type 2,sample 274,bad,5
0.4075,0.33745,-0.00064,0.15279,0.07048,type 5,sample 275,good,1
0.3683,0.35572,0.00524,0.15779,0.07493999999999999,type 5,sample 276,good,1
0.15020999999999998,0.48241999999999996,0.028960000000000003,0.19477,0.07106,type 1,sample 277,good,3
0.10689000000000001,0.2068,0.016630000000000002,0.18004,0.04116,type 2,sample 278,bad,2
0.41106000000000004,0.33449,2.9999999999999997e-05,0.15092,0.07165,type 5,sample 279,bad,1
0.11177000000000001,0.21083000000000002,0.0008900000000000001,0.18667,0.11433,type 2,sample 280,bad,5
0.15779,0.47768999999999995,0.0283,0.1963,0.07902999999999999,type 1,sample 281,good,3
0.4001,0.34060999999999997,-0.00232,0.15266,0.07512,type 5,sample 282,bad,1
0.14454,0.38363,-0.0986,0.11647,0.07501000000000001,type 4,sample 283,good,0
0.41481999999999997,0.3346,-0.00112,0.15063,0.07239,type 5,sample 284,bad,1
0.41262,0.3353,-0.0034799999999999996,0.14883,0.07302,type 5,sample 285,good,1
0.14309000000000002,0.37442,-0.09039,0.12143,0.07578,type 4,sample 286,bad,0
0.14732,0.40585,-0.10822999999999999,0.1105,0.0722,type 4,sample 287,bad,0
0.41323000000000004,0.33455999999999997,-0.00103,0.14941,0.07021000000000001,type 5,sample 288,bad,1
0.1689,0.42835,0.053079999999999995,0.13305999999999998,0.07339,type 3,sample 289,good,3
0.11182,0.20875,0.00536,0.1902,0.12847,type 2,sample 290,bad,5
0.14908,0.43751999999999996,-0.04938,0.14507,0.06985,type 4,sample 291,good,0
0.41491000000000006,0.33305,-0.00045,0.15020999999999998,0.07306,type 5,sample 292,bad,1
0.16995,0.44927,0.03847,0.16186,0.07501000000000001,type 3,sample 293,bad,3
0.14589000000000002,0.40944,-0.0939,0.12262999999999999,0.07316,type 4,sample 294,bad,0
0.14184000000000002,0.47003,0.03331,0.19537000000000002,0.061489999999999996,type 1,sample 295,good,3
0.14629,0.38941,-0.10722999999999999,0.1116,0.06836,type 4,sample 296,bad,0
0.41423000000000004,0.33385,0.00231,0.152,0.07242,type 5,sample 297,bad,1
0.15539,0.47772,0.02242,0.19689,0.07912999999999999,type 1,sample 298,good,3
0.39271999999999996,0.34592,0.00053,0.15672,0.07182000000000001,type 5,sample 299,good,1
0.15499000000000002,0.47993,0.02271,0.19399999999999998,0.07516,type 1,sample 300,good,3
0.15042,0.48165,0.02812,0.1991,0.07157999999999999,type 1,sample 301,good,3
0.19455,0.43396,0.03436,0.15449000000000002,0.07806,type 3,sample 302,good,3
0.14857,0.48273999999999995,0.03224,0.19713,0.07259,type 1,sample 303,good,3
0.14690999999999999,0.38095,-0.10555999999999999,0.11479,0.07493,type 4,sample 304,good,0
0.41258,0.33576999999999996,-0.0008900000000000001,0.14824,0.0751,type 5,sample 305,good,1
0.15804,0.47646000000000005,0.03067,0.1951,0.07675,type 1,sample 306,good,3
0.14877,0.392,-0.10824,0.11094000000000001,0.07421,type 4,sample 307,bad,0
0.15384,0.47877,0.02424,0.19715,0.0737,type 1,sample 308,good,3
0.14237,0.3715,-0.08183,0.11997999999999999,0.07435,type 4,sample 309,good,0
0.14872,0.39150999999999997,-0.10238,0.1154,0.07497999999999999,type 4,sample 310,good,0
0.15607000000000001,0.47952,0.03108,0.19713,0.0758,type 1,sample 311,good,3
0.16286,0.3956,0.07101,0.08631,0.07624,type 3,sample 312,bad,4
